from,to,cost
11.0,28.0,336.0
20.0,19.0,420.8
19.0,14.0,351.3
14.0,39.0,340.2
48.0,49.0,309.7
17.0,5.0,321.4
5.0,18.0,402.2
18.0,22.0,447.4
22.0,30.0,377.5
30.0,29.0,417.7
29.0,21.0,360.8
3.0,16.0,382.4
16.0,0.0,55.7
42.0,12.0,335.1
33.0,32.0,356.5
15.0,44.0,339.5
44.0,41.0,350.8
41.0,43.0,322.6
13.0,40.0,327.4
26.0,27.0,341.6
27.0,6.0,359.4
1.0,2.0,371.6
2.0,4.0,338.1
29.0,38.0,343.3
18.0,6.0,499.4
6.0,22.0,254.0
22.0,4.0,257.9
4.0,30.0,236.8
13.0,7.0,305.5
7.0,40.0,624.1
26.0,32.0,106.7
31.0,26.0,116.0
41.0,7.0,519.4
6.0,14.0,289.3
19.0,4.0,326.8
4.0,14.0,178.6
8.0,42.0,759.5
44.0,42.0,342.3
42.0,41.0,102.5
44.0,8.0,789.1
8.0,41.0,657.4
13.0,42.0,319.8
42.0,40.0,40.7
8.0,42.0,759.5
8.0,13.0,450.3
